StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentQ,PID,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1,previous_version,Sample
2022-04-04 10:35:47,2022-04-04 11:17:50,1,,100,2522,1,2022-04-04 11:17:50,R_325SwMuLwIDPjCO,,,,,,,preview,EN,1,rar,33,1,,4,4,4,4,50,,,,,,4,4,4,4,50,,,,,,7,2,,,,,,4,4,4,4,38,,,,,,4,4,4,4,50,,,,,,,,,,,,,,,,,,,,,3,MTurk
2022-04-04 11:38:49,2022-04-04 11:40:10,0,,100,80,1,2022-04-04 11:40:10,R_1jZWz1orWcGBLE5,,,,,,,anonymous,EN,1,A2GZNOA5CIVKUB,28,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,6,7,7,7,77,,,,,,,,,,,7,6,6,7,92,,,,,,,,,,,7,6,6,7,92,2,MTurk
2022-04-04 11:38:15,2022-04-04 11:40:11,0,,100,116,1,2022-04-04 11:40:12,R_tY8qodZmoaJCZJT,,,,,,,anonymous,EN,1,AAQ3J9OI2GC8I,29,1,,,,,,,,,,,,4,5,3,4,98,,,,,,7,1,,,,,,,,,,,,,,,,4,6,5,6,71,6,3,5,4,77,4,5,6,5,74,,,,,,,,,,,2,MTurk
2022-04-04 11:38:28,2022-04-04 11:40:25,0,,100,116,1,2022-04-04 11:40:25,R_3HSaPOvCBdjETiB,,,,,,,anonymous,EN,1,A3SUDYDNOPTMGX,31,5,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:55,2022-04-04 11:40:33,0,,100,97,1,2022-04-04 11:40:33,R_4NGwtjbEp1RP46l,,,,,,,anonymous,EN,1,A17JG931AT38CO,36,2,,,,,,,,,,,,,,,,,5,4,5,4,50,7,2,5,4,5,4,50,5,4,5,4,50,4,5,4,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:46,2022-04-04 11:40:37,0,,100,110,1,2022-04-04 11:40:38,R_2tthawW0rf2ZbE1,,,,,,,anonymous,EN,1,ASH7SVFWH0KT1,25,1,,,,,,,,,,,,3,2,2,1,51,,,,,,7,2,,,,,,,,,,,,,,,,5,4,7,1,52,2,1,3,1,53,5,4,4,4,43,,,,,,,,,,,3,MTurk
2022-04-04 11:39:50,2022-04-04 11:40:38,0,,100,48,1,2022-04-04 11:40:38,R_pyj3eM98AIT9UwF,,,,,,,anonymous,EN,1,A2T11H7YI7QPGD,31,1,,,,,,,,,,,,,,,,,6,4,4,7,39,7,2,,,,,,,,,,,,,,,,,,,,,6,6,5,7,67,5,6,5,7,32,6,3,5,7,66,,,,,,2,MTurk
2022-04-04 11:38:32,2022-04-04 11:40:40,0,,100,127,1,2022-04-04 11:40:40,R_2CqAGTvxUfioSsQ,,,,,,,anonymous,EN,1,A1BHJYSEFJ7APX,28,1,,7,5,6,6,94,,,,,,7,6,7,6,90,,,,,,4,1,,,,,,7,6,7,6,96,,,,,,7,6,6,7,90,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:38:23,2022-04-04 11:40:40,0,,100,137,1,2022-04-04 11:40:41,R_1kTUd7Wpn8Lis9X,,,,,,,anonymous,EN,1,AGKCK081EU63R,55,1,,6,6,6,6,85,6,6,6,6,86,6,6,6,6,86,6,6,6,6,85,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:58,2022-04-04 11:40:54,0,,100,116,1,2022-04-04 11:40:55,R_2ZERpeVSkeqRLzA,,,,,,,anonymous,EN,1,A11042NCTA8PGT,35,1,,,,,,,,,,,,7,7,7,7,90,,,,,,7,2,,,,,,,,,,,,,,,,7,7,7,7,90,7,7,7,7,90,7,7,7,7,90,,,,,,,,,,,2,MTurk
2022-04-04 11:39:33,2022-04-04 11:40:55,0,,100,81,1,2022-04-04 11:40:55,R_10JnsaIWs7WmNZF,,,,,,,anonymous,EN,1,A10T0161B70BXP,26,1,,7,7,7,7,94,7,7,7,7,93,7,7,7,7,92,7,7,7,7,100,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:46,2022-04-04 11:40:55,0,,100,129,1,2022-04-04 11:40:56,R_3EhFoz9NoNCteA4,,,,,,,anonymous,EN,1,A23XM9DGWLJ2O6,33,2,,,,,,,,,,,,,,,,,7,7,7,7,93,7,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,2,MTurk
2022-04-04 11:39:38,2022-04-04 11:41:00,0,,100,81,1,2022-04-04 11:41:00,R_1DTq8JPi0qBW8dJ,,,,,,,anonymous,EN,1,A77EN6TMUN0ZM,25,1,,,,,,,,,,,,,,,,,2,6,4,7,66,7,3,,,,,,,,,,,,,,,,,,,,,6,7,2,1,64,4,2,6,5,64,7,6,4,1,62,,,,,,2,MTurk
2022-04-04 11:38:25,2022-04-04 11:41:08,0,,100,162,1,2022-04-04 11:41:08,R_2chbZnFlJKPjCwd,,,,,,,anonymous,EN,1,APVJEN2541WFB,31,2,,6,6,7,6,94,6,7,7,7,95,7,6,7,6,94,7,7,7,7,97,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:39:08,2022-04-04 11:41:15,0,,100,127,1,2022-04-04 11:41:15,R_10qn30KCeif5Nsv,,,,,,,anonymous,EN,1,AWTO3UJPUNFTV,34,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,6,7,6,7,67,,,,,,,,,,,6,7,4,7,82,,,,,,6,7,5,7,75,6,7,6,7,84,1,MTurk
2022-04-04 11:38:41,2022-04-04 11:41:20,0,,100,158,1,2022-04-04 11:41:20,R_4Zrw0g6ILoM3VbX,,,,,,,anonymous,EN,1,A44H8KJCD6CB2,29,1,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,,,,,,7,7,7,7,100,7,7,7,7,100,1,MTurk
2022-04-04 11:38:50,2022-04-04 11:41:27,0,,100,156,1,2022-04-04 11:41:27,R_29vmyuMTasMGazr,,,,,,,anonymous,EN,1,A14NHSP2SCMCX,45,2,,,,,,,,,,,,,,,,,6,7,7,6,99,7,1,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,6,7,7,7,96,7,6,7,7,99,,,,,,2,MTurk
2022-04-04 11:40:12,2022-04-04 11:41:41,0,,100,88,1,2022-04-04 11:41:41,R_3JJdx6xxCRWaxhe,,,,,,,anonymous,EN,1,A35CL66BEUSJ5Z,33,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,5,2,5,6,83,,,,,,,,,,,5,7,4,5,72,,,,,,6,3,4,6,69,5,7,6,6,87,2,MTurk
2022-04-04 11:40:16,2022-04-04 11:41:48,0,,100,92,1,2022-04-04 11:41:48,R_3CDgNfiOWdz8Pvp,,,,,,,anonymous,EN,1,ALYR5CI2SM2JC,32,1,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:40,2022-04-04 11:41:52,0,,100,191,1,2022-04-04 11:41:52,R_1LTCJmdlieczDsB,,,,,,,anonymous,EN,1,A2DT4CC9GYKJEV,27,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,6,6,5,5,79,,,,,,,,,,,7,7,7,7,100,,,,,,6,7,7,7,100,5,6,5,5,90,1,MTurk
2022-04-04 11:38:39,2022-04-04 11:42:00,0,,100,200,1,2022-04-04 11:42:00,R_6Ru6GJHazofvTsl,,,,,,,anonymous,EN,1,A2JTLY1K6E2YAG,28,1,,6,6,6,6,86,,,,,,6,6,6,6,82,,,,,,7,2,,,,,,7,7,7,7,94,,,,,,7,7,7,7,90,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:38,2022-04-04 11:42:13,0,,100,214,1,2022-04-04 11:42:13,R_3qyx6breqt7pzRA,,,,,,,anonymous,EN,1,A2X3WU3THK95A9,27,1,,6,7,7,7,90,6,7,6,7,85,7,7,6,6,88,6,7,7,6,91,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:52,2022-04-04 11:42:13,0,,100,200,1,2022-04-04 11:42:13,R_3RxUiVbmexEdP37,,,,,,,anonymous,EN,1,A2MOKIEQZ0OF2M,59,1,,7,7,7,7,95,7,7,7,7,94,6,7,7,7,93,7,7,7,7,95,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,MTurk
2022-04-04 11:39:22,2022-04-04 11:42:22,0,,100,180,1,2022-04-04 11:42:22,R_2v376TRgyrNlgya,,,,,,,anonymous,EN,1,ASV5AV9SSO4CI,30,2,,7,6,7,6,80,,,,,,6,7,6,7,90,,,,,,7,1,,,,,,6,7,5,6,80,,,,,,6,6,5,7,72,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:40:24,2022-04-04 11:42:31,0,,100,126,1,2022-04-04 11:42:31,R_3ilsYTwKLYtjRdf,,,,,,,anonymous,EN,1,A2VIKCIM9TZL22,26,1,,,,,,,,,,,,5,5,5,5,72,,,,,,7,2,,,,,,,,,,,,,,,,5,5,5,5,64,6,6,6,6,89,6,6,6,6,86,,,,,,,,,,,2,MTurk
2022-04-04 11:39:24,2022-04-04 11:42:33,0,,100,188,1,2022-04-04 11:42:33,R_2rIt7FtZ5dhODNt,,,,,,,anonymous,EN,1,A3R9G09MWQW6OY,33,2,,,,,,,,,,,,,,,,,7,6,7,7,81,7,3,7,7,7,7,100,7,6,6,7,100,7,6,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:38:30,2022-04-04 11:42:39,0,,100,248,1,2022-04-04 11:42:39,R_REQrEdO7R9lyyoV,,,,,,,anonymous,EN,1,A2POA9ZYEH8WOV,39,1,,,,,,,,,,,,,,,,,4,4,4,4,64,7,2,5,6,6,5,83,6,5,7,7,73,6,5,6,7,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:17,2022-04-04 11:42:46,0,,100,269,1,2022-04-04 11:42:47,R_Rr9fc7mSgeb4KAN,,,,,,,anonymous,EN,1,A3NNDNMBKSZ22H,45,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,6,6,6,6,90,,,,,,6,6,6,6,90,6,6,6,6,90,2,MTurk
2022-04-04 11:41:08,2022-04-04 11:42:48,0,,100,100,1,2022-04-04 11:42:48,R_1kFVGyHth18uDqU,,,,,,,anonymous,EN,1,AXTLWMB07D9EH,30,1,,,,,,,,,,,,,,,,,3,3,2,3,78,7,3,,,,,,,,,,,,,,,,,,,,,4,2,2,3,84,3,3,3,3,83,4,2,3,2,82,,,,,,1,MTurk
2022-04-04 11:39:19,2022-04-04 11:42:48,0,,100,208,1,2022-04-04 11:42:49,R_3NwXewSFfeSTRrs,,,,,,,anonymous,EN,1,AGZ0KJNGENZ1J,41,2,,7,7,7,7,100,,,,,,7,7,7,7,100,,,,,,7,2,,,,,,7,7,7,7,100,,,,,,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:16,2022-04-04 11:42:49,0,,100,273,1,2022-04-04 11:42:50,R_1jkNDuTGaB8sYhR,,,,,,,anonymous,EN,1,A3DUPRZSMU9W5R,46,2,,,,,,,,,,,,,,,,,6,6,5,6,75,7,2,,,,,,,,,,,,,,,,,,,,,5,5,4,6,64,5,6,4,6,70,4,5,5,5,65,,,,,,2,MTurk
2022-04-04 11:39:13,2022-04-04 11:42:50,0,,100,217,1,2022-04-04 11:42:51,R_3jZE6W2LbeHCEsG,,,,,,,anonymous,EN,1,A3H93KCVR75XVX,38,2,,,,,,,,,,,,,,,,,7,6,7,6,81,7,2,,,,,,,,,,,,,,,,,,,,,7,6,7,6,80,7,6,7,6,85,7,6,7,6,85,,,,,,2,MTurk
2022-04-04 11:39:07,2022-04-04 11:42:53,0,,100,225,1,2022-04-04 11:42:53,R_3GlInHZAksDPIYH,,,,,,,anonymous,EN,1,A2YRU381D269NA,62,1,,,,,,,,,,,,6,6,5,5,80,,,,,,7,2,,,,,,,,,,,,,,,,6,6,6,6,85,6,5,5,6,80,6,6,5,6,80,,,,,,,,,,,2,MTurk
2022-04-04 11:39:07,2022-04-04 11:42:54,0,,100,226,1,2022-04-04 11:42:54,R_d6XPGvNdSlCKtnr,,,,,,,anonymous,EN,1,A1L04V7KJLXACJ,25,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,7,5,6,78,,,,,,,,,,,5,6,5,7,84,,,,,,6,5,6,6,95,5,6,5,5,90,1,MTurk
2022-04-04 11:40:28,2022-04-04 11:42:58,0,,100,150,1,2022-04-04 11:42:59,R_pK5jeeX6d2dAI0h,,,,,,,anonymous,EN,1,A2KW87ZD2ELYNG,42,1,,3,3,5,5,40,4,4,5,5,45,4,4,5,5,46,4,4,5,5,45,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:40:29,2022-04-04 11:43:10,0,,100,161,1,2022-04-04 11:43:10,R_31hd8RprdL6lr7d,,,,,,,anonymous,EN,1,A2D8LB2RPJXMSQ,33,2,,6,5,5,5,66,5,5,5,6,57,6,5,5,6,64,5,5,6,6,67,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,MTurk
2022-04-04 11:38:39,2022-04-04 11:43:26,0,,100,287,1,2022-04-04 11:43:26,R_2wnLfWjbKgkusVc,,,,,,,anonymous,EN,1,A3MHLQBHJ266G,33,2,,6,6,6,6,88,,,,,,6,6,6,6,85,,,,,,7,2,,,,,,6,6,6,6,71,,,,,,4,4,4,4,75,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:45,2022-04-04 11:43:35,0,,100,290,1,2022-04-04 11:43:36,R_3koGsUw2FZ2dFTY,,,,,,,anonymous,EN,1,A2KED6T6BO622W,52,2,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,2,MTurk
2022-04-04 11:41:36,2022-04-04 11:43:36,0,,100,119,1,2022-04-04 11:43:36,R_1r7gw32orMremH1,,,,,,,anonymous,EN,1,A16XICHYMHNDYL,48,2,,7,5,7,6,81,6,7,6,5,83,7,7,5,7,85,6,7,7,5,87,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:42:20,2022-04-04 11:43:45,0,,100,85,1,2022-04-04 11:43:46,R_3I0LPiy1iHzGZ9G,,,,,,,anonymous,EN,1,A29RCIFHRAZ797,29,1,,,,,,,,,,,,,,,,,5,6,5,6,80,7,1,,,,,,,,,,,,,,,,,,,,,4,6,4,5,76,4,6,5,6,77,5,6,5,4,68,,,,,,2,MTurk
2022-04-04 11:39:40,2022-04-04 11:43:46,0,,100,246,1,2022-04-04 11:43:47,R_3j7fsjwsW9X1NHX,,,,,,,anonymous,EN,1,A2HJ1771PU6R61,29,1,,,,,,,,,,,,,,,,,7,7,7,7,100,7,1,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:41:29,2022-04-04 11:43:47,0,,100,138,1,2022-04-04 11:43:48,R_1gurrFWHEVFAXAm,,,,,,,anonymous,EN,1,A1GUWXA5B6RCOR,46,1,,6,7,6,7,89,5,6,5,7,71,5,5,6,7,72,6,7,6,6,95,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:38:55,2022-04-04 11:43:48,0,,100,292,1,2022-04-04 11:43:48,R_VUWQWtbgtaSk6vn,,,,,,,anonymous,EN,1,A1AU1OYVLTWX0,31,1,,6,6,5,4,68,,,,,,6,5,6,6,55,,,,,,5,4,,,,,,7,6,5,5,82,,,,,,6,5,4,6,66,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:40:35,2022-04-04 11:43:56,0,,100,201,1,2022-04-04 11:43:56,R_z2OcpaH9syjIGMp,,,,,,,anonymous,EN,1,A2AYZ17LTPW639,30,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,4,4,5,2,75,,,,,,,,,,,,,,,,,,,,,3,4,6,4,65,6,3,5,7,66,1,MTurk
2022-04-04 11:38:48,2022-04-04 11:43:57,0,,100,308,1,2022-04-04 11:43:57,R_1Q6pUIJgO6N46ZR,,,,,,,anonymous,EN,1,A3NW8QKWOVG5J4,35,2,,,,,,,,,,,,,,,,,7,7,7,7,96,7,2,7,7,7,7,95,7,7,7,7,95,7,7,7,7,96,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:39:38,2022-04-04 11:44:03,0,,100,264,1,2022-04-04 11:44:04,R_1Kj4zMcCWOmG01c,,,,,,,anonymous,EN,1,A2J2K68MTV4ZPG,23,2,,,,,,,,,,,,6,6,6,5,55,,,,,,7,2,,,,,,,,,,,,,,,,5,6,7,7,59,7,5,5,6,61,7,5,5,6,73,,,,,,,,,,,2,MTurk
2022-04-04 11:38:50,2022-04-04 11:44:05,0,,100,315,1,2022-04-04 11:44:06,R_1r94RI5BQyproyU,,,,,,,anonymous,EN,1,ASCBKU2SM61JU,47,2,,,,,,,,,,,,,,,,,6,7,6,6,98,7,2,6,6,6,6,98,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:42:22,2022-04-04 11:44:09,0,,100,106,1,2022-04-04 11:44:09,R_1Cskl487D55mF0h,,,,,,,anonymous,EN,1,A39LVL4A92K88X,25,1,,,,,,,,,,,,6,5,1,5,90,,,,,,7,2,,,,,,,,,,,,,,,,2,3,1,5,71,2,7,6,2,62,2,2,7,5,64,,,,,,,,,,,2,MTurk
2022-04-04 11:40:09,2022-04-04 11:44:12,0,,100,243,1,2022-04-04 11:44:12,R_3npYfJQ96AvCzMC,,,,,,,anonymous,EN,1,A1DIIHES13WEBR,24,1,,5,4,4,5,69,,,,,,5,4,4,5,50,,,,,,7,2,,,,,,2,7,4,5,58,,,,,,6,5,4,5,65,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:41:03,2022-04-04 11:44:16,0,,100,192,1,2022-04-04 11:44:16,R_3XlwB7KgpRAwk9j,,,,,,,anonymous,EN,1,ARQR5NIFA1AJ,37,2,,,,,,,,,,,,6,7,5,5,69,,,,,,7,5,,,,,,,,,,,,,,,,7,7,5,7,92,7,7,7,7,94,6,7,6,6,85,,,,,,,,,,,2,MTurk
2022-04-04 11:41:12,2022-04-04 11:44:17,0,,100,184,1,2022-04-04 11:44:18,R_1P0PDohdAeGeiN8,,,,,,,anonymous,EN,1,A1QUQFADXQ6NBS,30,2,,6,7,6,7,83,,,,,,7,5,6,7,91,,,,,,7,2,,,,,,7,5,6,5,78,,,,,,7,6,5,6,63,,,,,,,,,,,,,,,,,,,,,3,MTurk
2022-04-04 11:39:45,2022-04-04 11:44:18,0,,100,272,1,2022-04-04 11:44:18,R_1eOWDybYe4mKE5m,,,,,,,anonymous,EN,1,A9CXJ9J58XIOB,40,2,,,,,,,,,,,,,,,,,6,4,2,6,69,1,3,6,4,2,5,72,7,5,3,6,68,7,4,6,5,78,,,,,,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:39:43,2022-04-04 11:44:20,0,,100,277,1,2022-04-04 11:44:22,R_2y7NlkMlgZx2d9T,,,,,,,anonymous,EN,1,A1OWM3QO7QAKBN,30,1,,7,7,7,7,100,,,,,,6,6,6,6,90,,,,,,7,2,,,,,,7,7,7,7,100,,,,,,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:39,2022-04-04 11:44:29,0,,100,349,1,2022-04-04 11:44:29,R_DO9BpuxW75TDUWJ,,,,,,,anonymous,EN,1,A2CQVV56HAWA09,45,1,,,,,,,,,,,,,,,,,7,6,6,7,64,6,3,,,,,,,,,,,,,,,,,,,,,7,6,7,6,81,7,6,7,6,75,7,6,7,5,94,,,,,,1,MTurk
2022-04-04 11:40:03,2022-04-04 11:44:31,0,,100,267,1,2022-04-04 11:44:31,R_1Nll87Ueqf2lzlG,,,,,,,anonymous,EN,1,A2TYVYRGXYSXJA,32,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,6,5,7,6,70,,,,,,,,,,,6,5,6,7,83,,,,,,,,,,,6,4,4,6,88,1,MTurk
2022-04-04 11:39:33,2022-04-04 11:44:43,0,,100,309,1,2022-04-04 11:44:43,R_3j7NxwWNM34SAgf,,,,,,,anonymous,EN,1,A1PTMYSJ5TJ479,35,1,,,,,,,,,,,,,,,,,5,7,4,6,88,7,5,,,,,,,,,,,,,,,,,,,,,7,7,6,7,96,4,5,2,3,74,7,7,5,7,96,,,,,,3,MTurk
2022-04-04 11:38:59,2022-04-04 11:44:58,0,,100,359,1,2022-04-04 11:44:59,R_3nJcu8l6HJ9u6W0,,,,,,,anonymous,EN,1,A3DK3G3CBMNZMP,34,1,,,,,,,,,,,,,,,,,3,5,6,5,60,7,5,5,6,6,5,65,7,6,7,7,76,5,6,5,6,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:41:17,2022-04-04 11:45:03,0,,100,226,1,2022-04-04 11:45:04,R_C1PlDorsJgntTMJ,,,,,,,anonymous,EN,1,AHXFT8NI7QA1A,52,1,,,,,,,,,,,,6,5,4,4,82,,,,,,7,2,,,,,,,,,,,,,,,,5,7,5,6,81,5,6,5,6,77,6,5,6,7,88,,,,,,,,,,,1,MTurk
2022-04-04 11:41:28,2022-04-04 11:45:06,0,,100,218,1,2022-04-04 11:45:06,R_3L1jXwR8H8rZ2g9,,,,,,,anonymous,EN,1,AS92V08A13X6Y,43,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,2,4,7,6,62,,,,,,,,,,,3,5,7,2,61,,,,,,,,,,,3,6,5,2,69,1,MTurk
